age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
53,Private,144361,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,0
44,Private,128354,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,40,United-States,0
41,State-gov,101603,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
29,Private,271466,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,0
25,Private,32275,HS-grad,10,Never-married,Farming-fishing,Own-child,White,Male,0,0,40,United-States,0
47,Private,51835,Prof-school,15,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,1902,60,United-States,1
50,Self-emp-not-inc,251585,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,55,United-States,1
47,Private,109832,Prof-school,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,60,United-States,0
43,Private,237993,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
46,Private,216666,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,40,United-States,0
34,Private,56352,Bachelors,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
41,State-gov,147372,Assoc-voc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,0
30,State-gov,188146,Bachelors,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,5013,0,40,United-States,0
30,Private,59496,Bachelors,13,Never-married,Sales,Husband,White,Male,2407,0,40,United-States,0
48,Self-emp-not-inc,149640,Assoc-acdm,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
41,Private,116632,Masters,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
29,Private,105598,Assoc-voc,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,58,United-States,0
35,Private,155537,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
28,Private,183175,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
53,Private,169846,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
49,Local-gov,191681,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
19,Private,101509,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,32,United-States,0
31,Private,309974,Masters,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,0
29,Private,162298,Assoc-voc,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,70,United-States,1
23,Private,211678,Assoc-acdm,10,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,0
78,Private,124744,7th-8th,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,20,United-States,0
26,Private,213921,Some-college,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
40,Private,32214,Doctorate,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
17,Private,309634,10th,7,Never-married,Other-service,Own-child,White,Male,0,0,22,United-States,0
31,Local-gov,125927,7th-8th,4,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
17,Private,446839,10th,9,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,0
52,Self-emp-not-inc,276515,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
46,Private,51618,5th-6th,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,40,United-States,0
58,Private,159937,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Female,0,0,48,United-States,0
44,Private,343591,Masters,9,Divorced,Exec-managerial,Unmarried,White,Female,14344,0,40,United-States,1
53,Private,346253,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,0
49,Local-gov,268234,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
32,Private,202051,Masters,14,Married-civ-spouse,Handlers-cleaners,Husband,Amer-Indian-Eskimo,Male,0,0,50,United-States,0
30,Private,54334,Bachelors,5,Never-married,Sales,Husband,White,Male,0,0,40,United-States,0
43,Private,410867,Some-college,16,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,1
56,Private,249977,HS-grad,11,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,40,United-States,0
37,Private,286730,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
28,Private,212563,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,0
34,Private,226296,HS-grad,13,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,1
29,Local-gov,115585,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,0
48,Self-emp-not-inc,191277,Assoc-acdm,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,60,United-States,1
37,Private,202683,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,48,United-States,1
48,Private,171095,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
32,Private,249409,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,40,United-States,0
75,Self-emp-inc,124191,Masters,14,Widowed,Sales,Not-in-family,White,Male,0,0,40,United-States,1
44,Private,198282,Masters,13,Divorced,Exec-managerial,Unmarried,White,Female,15024,0,60,United-States,1
47,Private,149116,Prof-school,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,0
19,Private,188300,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
29,Local-gov,103432,Some-college,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,0
32,Private,317660,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,7688,0,40,United-States,1
30,Private,194901,Bachelors,7,Never-married,Sales,Husband,White,Male,0,0,40,United-States,0
31,Local-gov,189265,7th-8th,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
42,Private,124692,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,0
23,Private,432376,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
38,Private,65324,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
56,Local-gov,335605,Bachelors,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,1887,50,United-States,1
28,Private,377869,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,4064,0,25,United-States,0
35,Private,102864,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
53,Private,95647,HS-grad,5,Divorced,Sales,Own-child,White,Female,0,0,50,United-States,0
56,Local-gov,303090,Bachelors,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,50,United-States,0
49,Local-gov,197371,Some-college,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
54,Private,247552,Bachelors,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,56,United-States,0
22,Private,102632,Some-college,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,41,United-States,0
21,Private,199915,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,40,United-States,0
40,Private,118853,Doctorate,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,0
30,Private,77143,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,United-States,0
29,Local-gov,267989,Some-college,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,50,United-States,1
19,Private,301606,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,35,United-States,0
47,Private,287828,Some-college,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,1
20,Private,111697,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,1719,28,United-States,0
31,Local-gov,114937,7th-8th,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
39,Private,365739,Bachelors,10,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
28,Private,69621,HS-grad,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,0
24,Private,43323,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,1762,40,United-States,0
38,Private,120985,Prof-school,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,4386,0,35,United-States,0
37,Private,254202,Some-college,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
46,Private,146195,5th-6th,12,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,0,0,36,United-States,0
38,Private,125933,Prof-school,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
43,Private,56920,Some-college,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,60,United-States,0
27,Private,163127,Assoc-voc,11,Never-married,Adm-clerical,Wife,White,Female,0,0,35,United-States,0
20,Private,34310,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,0
49,Private,81973,Masters,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
61,Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
27,Private,232782,Assoc-voc,10,Never-married,Adm-clerical,Wife,White,Female,0,0,40,United-States,0
19,Private,316868,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,0
45,Private,196584,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1564,40,United-States,1
69,Private,105376,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
31,Private,185814,HS-grad,9,Married-civ-spouse,Transport-moving,Unmarried,White,Female,0,0,30,United-States,0
22,Private,175374,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States,0
36,Private,108293,Some-college,9,Divorced,Other-service,Unmarried,White,Female,0,0,24,United-States,0
63,Private,181232,HS-grad,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2179,40,United-States,0
47,Private,186009,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,38,United-States,0
34,Private,198183,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,0
33,Private,163003,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,United-States,0
21,Private,296158,Some-college,9,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,35,United-States,0
48,Private,187715,Assoc-acdm,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,46,United-States,0
23,Private,214542,Assoc-acdm,13,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,0
71,Self-emp-not-inc,494223,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,1816,2,United-States,0
29,Private,191535,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,0
42,Private,228456,HS-grad,13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,0
25,Private,252752,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
44,Local-gov,78374,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,0
28,Private,88419,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0
45,Private,201080,Assoc-voc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
36,Private,207157,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
39,Federal-gov,235485,HS-grad,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,42,United-States,0
46,State-gov,102628,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,40,United-States,0
18,Private,25828,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,16,United-States,0
65,Self-emp-not-inc,54826,Prof-school,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,20,United-States,0
27,Private,124953,Assoc-voc,9,Never-married,Adm-clerical,Wife,White,Female,0,1980,40,United-States,0
28,Private,175325,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,40,United-States,0
50,Private,96062,Masters,10,Married-civ-spouse,Sales,Husband,White,Male,0,1977,40,United-States,1
27,Private,428030,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,0
28,Private,149624,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,1
27,Private,253814,Bachelors,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,25,United-States,0
21,Private,312956,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
34,Private,483777,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,0
18,Private,183930,11th,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,12,United-States,0
33,Private,37274,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,65,United-States,0
44,Local-gov,181344,Masters,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,38,United-States,1
43,Private,114580,HS-grad,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
30,Private,633742,Bachelors,10,Never-married,Exec-managerial,Own-child,Black,Male,0,0,45,United-States,0
40,Private,286370,7th-8th,4,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,1
37,Federal-gov,29054,HS-grad,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,1
34,Private,304030,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,0
41,State-gov,143129,Assoc-voc,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
31,Private,99928,HS-grad,14,Married-civ-spouse,Transport-moving,Unmarried,White,Female,0,0,50,United-States,0
57,Private,109567,HS-grad,16,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,1,United-States,1
38,Private,155222,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,28,United-States,0
24,Private,159567,HS-grad,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
41,Local-gov,523910,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,0
47,Private,120939,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,45,United-States,0
41,Local-gov,130760,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,24,United-States,0
23,Private,197387,5th-6th,3,Never-married,Transport-moving,Other-relative,White,Male,0,0,40,United-States,0
36,Private,99374,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,40,United-States,0
40,Private,56795,7th-8th,14,Never-married,Machine-op-inspct,Not-in-family,White,Female,14084,0,55,United-States,1
35,Private,138992,Masters,14,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,7298,0,40,United-States,1
24,Private,32921,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
25,Private,397317,Bachelors,14,Never-married,Adm-clerical,Own-child,White,Female,0,1876,40,United-States,0
51,Private,259323,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
42,Private,254817,HS-grad,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,1340,40,United-States,0
37,Federal-gov,48211,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,United-States,0
18,Private,140164,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
36,Private,128757,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298,0,36,United-States,1
35,Private,36270,Masters,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,0
58,Private,210563,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Male,15024,0,35,United-States,1
17,Private,65368,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,0
44,Local-gov,160943,Masters,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,United-States,0
37,Federal-gov,208358,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
35,Private,153790,Masters,10,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
60,Private,85815,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
54,Private,125417,HS-grad,4,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,1
37,Self-emp-inc,635913,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,1
50,Self-emp-not-inc,313321,Bachelors,12,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
38,Private,182609,Some-college,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,0
45,Private,109434,Assoc-voc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,0
25,Private,255004,HS-grad,6,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
31,Private,197860,HS-grad,10,Married-civ-spouse,Transport-moving,Unmarried,White,Female,0,0,40,United-States,0
89,Private,51744,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,2206,40,United-States,0
54,Private,176681,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,20,United-States,0
53,Private,140359,HS-grad,1,Divorced,Sales,Own-child,White,Female,0,0,35,United-States,0
18,Private,243313,11th,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
65,Self-emp-not-inc,167687,Prof-school,9,Never-married,Prof-specialty,Not-in-family,White,Male,1409,0,50,United-States,0
74,Self-emp-not-inc,314209,Bachelors,11,Widowed,Craft-repair,Not-in-family,White,Male,0,0,20,Germany,0
65,Private,176796,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,40,United-States,0
35,Private,538583,11th,7,Separated,Transport-moving,Not-in-family,White,Male,3674,0,40,United-States,0
41,Local-gov,130408,Bachelors,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,38,United-States,0
25,Private,159732,HS-grad,10,Never-married,Other-service,Not-in-family,White,Male,0,0,42,United-States,0
33,Private,110978,Bachelors,10,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,40,United-States,0
28,Private,76714,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,55,United-States,1
59,State-gov,268700,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
40,Private,170525,7th-8th,10,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,38,United-States,0
41,Private,180138,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,1
38,Private,115076,Some-college,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,70,United-States,1
23,Private,115458,5th-6th,9,Never-married,Transport-moving,Other-relative,White,Male,0,0,40,United-States,0
40,Private,347890,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,1
41,Private,196001,Bachelors,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,20,United-States,0
24,Private,273905,Assoc-acdm,12,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,50,United-States,0
38,Private,179488,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,1741,40,United-States,0
58,Private,236596,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Male,0,0,45,United-States,1
32,Private,183916,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,34,United-States,0
40,Private,207578,Bachelors,12,Married-civ-spouse,Tech-support,Husband,White,Male,0,1977,60,United-States,1
41,Private,112763,Bachelors,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,1
42,Private,390781,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,0
59,State-gov,171328,HS-grad,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,30,United-States,0
19,Private,27382,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
58,Private,259014,HS-grad,10,Married-civ-spouse,Sales,Wife,White,Male,0,0,20,United-States,0
42,Private,303044,Bachelors,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,1
20,Private,117789,Some-college,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
32,Private,172579,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,30,United-States,0
45,Private,187666,HS-grad,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,0
50,Private,204518,7th-8th,4,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
36,Private,150042,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
45,Private,98092,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,0
17,Private,245918,11th,7,Never-married,Other-service,Own-child,White,Male,0,0,12,United-States,0
59,State-gov,146013,HS-grad,10,Married-civ-spouse,Other-service,Husband,White,Male,4064,0,40,United-States,0
25,Private,378322,Bachelors,7,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
37,Self-emp-inc,257295,Bachelors,10,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,75,United-States,1
63,Private,21174,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
33,Private,185480,HS-grad,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,0
33,Private,222205,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,1
61,Self-emp-inc,69867,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
17,Private,191260,11th,5,Never-married,Other-service,Own-child,White,Male,1055,0,24,United-States,0
50,Private,30653,7th-8th,14,Divorced,Craft-repair,Not-in-family,White,Male,2407,0,98,United-States,0
27,Private,209109,Bachelors,14,Never-married,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,0
30,Private,70377,Bachelors,9,Never-married,Exec-managerial,Own-child,Black,Male,0,0,40,United-States,0
43,Private,477983,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
44,Private,170924,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,United-States,1
35,Private,190174,11th,10,Separated,Transport-moving,Not-in-family,White,Male,0,0,40,United-States,0
